compounds	concentration	minFlux	maxFlux
cpd00001	0.01	-1000	1000
cpd00007	0.01	-1000	0
cpd00009	0.01	-1000	1000
cpd00012	0.01	-1000	1000
cpd00030	0.01	-1000	1000
cpd00034	0.01	-1000	1000
cpd00048	0.01	-1000	1000
cpd00058	0.01	-1000	1000
cpd00063	0.01	-1000	1000
cpd00067	0.01	-1000	1000
cpd00099	0.01	-1000	1000
cpd00149	0.01	-1000	1000
cpd00205	0.01	-1000	1000
cpd00254	0.01	-1000	1000
cpd00268	0.01	-1000	1000
cpd00531	0.01	-1000	1000
cpd00971	0.01	-1000	1000
cpd01012	0.01	-1000	1000
cpd04097	0.01	-1000	1000
cpd10516	0.01	-1000	1000
cpd00244	0.01	-1000	1000
cpd01048	0.01	-1000	1000
cpd04098	0.01	-1000	1000
cpd00966	0.01	-1000	1000
